afghanistan ;33.0 ;65.0 
albanien ;41.0 ;20.0 
algeriet ;28.0 ;3.0 
AMERICAN SAMOA ;-14.3333 ;-170.0 
andorra ;42.5 ;1.5 
angola ;-12.5 ;18.5 
ANGUILLA ;18.25 ;-63.1667 
ANTARCTICA ;-90.0 ;0.0 
ANTIGUA AND BARBUDA ;17.05 ;-61.8 
argentina ;-34.0 ;-64.0 
armenien ;40.0 ;45.0 
ARUBA ;12.5 ;-69.9667 
australien ;-27.0 ;133.0 
oestrig ;47.3333 ;13.3333 
aserbajdsjan ;40.5 ;47.5
serbien ;44.19 ;21.5  
BAHAMAS ;24.25 ;-76.0 
bahrain ;26.0 ;50.55 
BANGLADESH ;24.0 ;90.0 
barbados ;13.1667 ;-59.5333 
hviderusland ;53.0 ;28.0 
belgien ;50.8333 ;4.0 
belize ;17.25 ;-88.75 
benin ;9.5 ;2.25 
bermuda ;32.3333 ;-64.75 
BHUTAN ;27.5 ;90.5 
bolivia ;-17.0 ;-65.0 
bosnien ;44.0 ;18.0 
botswana ;-22.0 ;24.0 
BOUVET ISLAND ;-54.4333 ;3.4 
brasilien ;-10.0 ;-55.0 
BRITISH INDIAN OCEAN TERRITORY ;-6.0 ;71.5 
brunei ;4.5 ;114.6667 
bulgarien ;43.0 ;25.0 
faso ;13.0 ;-2.0 
burundi ;-3.5 ;30.0 
cambodia ;13.0 ;105.0 
cameroun ;6.0 ;12.0 
canada ;60.0 ;-95.0 
verde ;16.0 ;-24.0 
CAYMAN ISLANDS ;19.5 ;-80.5 
CENTRAL AFRICAN REPUBLIC ;7.0 ;21.0 
tchad ;15.0 ;19.0 
chile ;-30.0 ;-71.0 
kina ;35.0 ;105.0 
CHRISTMAS ISLAND ;-10.5 ;105.6667 
COCOS (KEELING) ISLANDS ;-12.5 ;96.8333 
colombia ;4.0 ;-72.0 
comorerne ;-12.1667 ;44.25 
congo ;-1.0 ;15.0 
COOK ISLANDS ;-21.2333 ;-159.7667 
costa-rica ;10.0 ;-84.0 
elfenbenskysten ;8.0 ;-5.0 
kroatien ;45.1667 ;15.5 
cuba ;21.5 ;-80.0 
cypern ;35.0 ;33.0 
tjekkiet ;49.75 ;15.5 
danmark ;56.0 ;10.0 
DJIBOUTI ;11.5 ;43.0 
DOMINICA ;15.4167 ;-61.3333 
DOMINICAN REPUBLIC ;19.0 ;-70.6667 
ecuador ;-2.0 ;-77.5 
egypten ;27.0 ;30.0 
el-salvador;13.8333 ;-88.9167 
guinea ;9.91 ;-15.96
kvatorialguinea ;1.15 ;3.94 
eritrea ;15.0 ;39.0 
estland ;59.0 ;26.0 
etiopien ;8.0 ;38.0 
guatemala ;12.72 ;-91.36
FALKLAND ISLANDS ;-51.75 ;-59.0 
faeroeerne ;61.89 ;-8.0 
fiji ;-18.0 ;175.0 
finland ;64.0 ;26.0 
frankrig ;46.0 ;2.0 
FRENCH GUIANA ;4.0 ;-53.0 
FRENCH POLYNESIA ;-15.0 ;-140.0 
FRENCH SOUTHERN TERRITORIES ;-43.0 ;67.0 
gabon ;-1.0 ;11.75 
gambia ;13.4667 ;-16.5667 
georgien ;42.0 ;43.5 
tyskland ;51.0 ;9.0 
ghana ;8.0 ;-2.0 
graekenland ;39.0 ;22.0 
GREENLAND ;72.0 ;-40.0 
kosovo ;42.56 ;19.78
grenada ;12.1167 ;-61.6667 
guadeloupe ;16.25 ;-61.5833 
GUAM ;13.4667 ;144.7833 
GUATEMALA ;15.5 ;-90.25 
GUINEA ;11.0 ;-10.0 
bissau ;12.0 ;-15.0 
guyana ;5.0 ;-59.0 
haiti ;19.0 ;-72.4167 
HEARD AND MCDONALD ISLANDS ;-53.1 ;72.5167 
honduras ;15.0 ;-86.5 
hongkong ;22.25 ;114.1667 
ungarn ;47.0 ;20.0 
island ;65.0 ;-18.0 
indien ;20.0 ;77.0 
indonesien ;-5.0 ;120.0 
iran ;32.0 ;53.0 
irak ;33.0 ;44.0 
irland ;53.0 ;-9.0 
israel ;31.5 ;34.75 
italien ;42.8333 ;12.8333 
jamaica ;18.25 ;-77.5 
japan ;36.0 ;138.0 
jordan ;31.0 ;36.0 
kazaksthan ;48.0 ;68.0 
kenya ;1.0 ;38.0 
KIRIBATI ;1.4167 ;173.0 
nordkorea ;40.0 ;127.0 
sydkorea;37.0 ;127.5 
kuwait ;29.3375 ;47.6581 
kirgisistan ;41.0 ;75.0 
laos ;18.0 ;105.0 
letland ;57.0 ;25.0 
libanon ;33.8333 ;35.8333 
