name,position,nationality,age,height,weight,club,club_nationality,club-league
alisson-becker,Goalkeeper,brasilien,27,193,91,liverpool,england,premier-league
nathaniel-clyne,Defender,england,28,175,67,liverpool,england,premier-league
fabinho,Midtfielder,brasilien,26,188,78,liverpool,england,premier-league
virgil-van-dijk,Defender,holland,28,193,92,liverpool,england,premier-league
georginio-wijnaldum,Midtfielder,holland,28,175,74,liverpool,england,premier-league
dejan-lovren,Defender,kroatien,30,188,84,liverpool,england,premier-league
james-milner,Midtfielder,england,33,175,70,liverpool,england,premier-league
naby-keita,Midtfielder,guinea,24,172,64,liverpool,england,premier-league
roberto-firmino,Attacker,brasilien,28,181,76,liverpool,england,premier-league
sadio-mane,Attacker,senegal,27,175,69,liverpool,england,premier-league
mohamed-salah,Attacker,egypten,27,175,71,liverpool,england,premier-league
joseph-gomez,Defender,england,22,191,77,liverpool,england,premier-league
adrian,Goalkeeper,spanien,32,190,80,liverpool,england,premier-league
jordan-henderson,Midtfielder,england,29,182,67,liverpool,england,premier-league
alex-oxlade-chamberlain,Midtfielder,england,26,180,70,liverpool,england,premier-league
adam-lallana,Midtfielder,england,31,172,73,liverpool,england,premier-league
andy-lonergan,Goalkeeper,england,36,192,87,liverpool,england,premier-league
xherdan-shaqiri,Attacker,schweiz,28,169,72,liverpool,england,premier-league
rhian-brewster,Attacker,england,19,180,75,liverpool,england,premier-league
andrew-robertson,Defender,skotland,25,178,64,liverpool,england,premier-league
divock-origi,Attacker,belgien,24,185,75,liverpool,england,premier-league
joel-matip,Defender,cameroun,28,195,89,liverpool,england,premier-league
curtis-jones,Midtfielder,england,18,182,68,liverpool,england,premier-league
ki-jana-hoever,Defender,holland,17,-,-,liverpool,england,premier-league
herbie-kane,Midtfielder,england,20,-,-,liverpool,england,premier-league
caoimhin-kelleher,Goalkeeper,irland,20,-,-,liverpool,england,premier-league
trent-alexander-arnold,Defender,england,21,175,69,liverpool,england,premier-league
harvey-elliott,Midtfielder,england,16,-,-,liverpool,england,premier-league
pedro-chirivella,Midtfielder,spanien,22,178,75,liverpool,england,premier-league
sepp-van-den-berg,Defender,holland,17,-,-,liverpool,england,premier-league
